,IDs
1142,1435197859083784193
1143,79543
1144,1395936296347086848
1145,35673821
1146,39635217
1147,42950648
1148,866773395995807745
1149,2812421151
1150,1367897431359164416
1151,46957344
1152,1432049203077951498
1153,1367278980395454470
1154,276529582
1155,99882578
1156,3005650652
1157,1367379030924812289
1158,126218429
1159,1718887602
1160,739630275811024897
1161,966788407199485952
1162,241214642
1163,1267210776315670529
1164,17551830
1165,1296836478790762499
1166,97991062
1167,1412947556305293312
1168,925157550617632768
1169,916333718628794368
1170,1035520225674969088
1171,920958777410670592
1172,2413067179
1173,24534027
1174,2836258729
1175,1397552594822836228
1176,311416449
1177,90649086
1178,956670268596015105
1179,1305939443090677760
1180,1380294357870383107
1181,957334918442508288
1182,1240821234843213827
1183,11844252
1184,1175743683125108736
1185,27557141
1186,1295526279194828800
1187,193025869
1188,927389521615785984
1189,1430627949481365504
1190,912116288759222273
1191,1132014723887710208
1192,1465553933452075009
1193,320344843
1194,1036333021543186433
1195,1425466703912308747
1196,1044795305076690945
1197,716412026
1198,1395323893913579520
1199,387622829
1200,1242788971014434819
1201,935361626810798080
1202,336887148
1203,1483901014805815302
1204,285282053
1205,26942420
1206,16608630
1207,1478826464678187012
1208,40503906
1209,1435164532649836544
1210,1320359612919521286
1211,1469306742077022211
1212,1460739700449329155
1213,1453367115633803264
1214,1017375221886701569
1215,1479128295216140288
1216,1479957464346935300
1217,1253103311600996353
1218,905620723611254785
1219,1310271929786327040
1220,1461525327180668928
1221,260265287
1222,1475488316271255558
1223,1192562925266821121
1224,1464296734805397515
1225,306887080
1226,1470179064229027845
1227,2181725574
1228,1365325283218259974
1229,1473304518309945352
1230,1472669624273498114
1231,1478188170839617539
1232,1376574005679902728
1233,2539948627
1234,32750439
1235,1402269587102736388
1236,1477374633578016768
1237,3195428196
1238,1458543407379402757
1239,464207150
1240,1372934191638147076
1241,1078314801623977984
1242,1281604367301455872
1243,2468227220
1244,15315619
1245,2672951060
1246,3245556685
1247,1274957424403808256
1248,1466139473117384706
1249,1427536934973304832
1250,413632172
1251,1440404275331358723
1252,1461848158695264267
1253,1241182696866377729
1254,1361583407772262402
1255,1415584777462235138
1256,1470721474352668679
1257,71241660
1258,1113812596250087424
1259,1443556158170558469
1260,1459005370161336320
1261,1349560343983394816
1262,1374762977518292993
1263,1473911162697781250
1264,993626115938947073
1265,932925205
1266,716762670
1267,129129722
1268,1371964464703143937
1269,1315423252999811073
1270,1460374998372077574
1271,1438595056915517441
1272,947285638713405443
1273,1365341391891566597
1274,1455641112874467332
1275,806658293666037762
1276,3370153281
1277,1470313969646649345
1278,965680135
1279,147527371
1280,44080327
1281,1167120854574125057
1282,14870172
1283,1393764652295888900
1284,1441418589832040456
1285,960341950963552256
1286,34063867
1287,174101650
1288,1334357572007178240
1289,1454230427288416257
1290,737163074118012928
1291,1329141153149628418
1292,1464008182691475462
1293,2692382134
1294,87615593
1295,20214930
1296,1446695919458586625
1297,946070756382859264
1298,864527838472306688
1299,1660193336
1300,1043046891192233984
1301,2794288012
1302,1466976526960898055
1303,932620438001410049
1304,1248926288972107776
1305,1322129587334082560
1306,3307801080
1307,1435234427806814223
1308,240294434
1309,1389511280516603905
1310,360514499
1311,936342924861853701
1312,1451994430747987968
1313,1463677283810492419
1314,1159986278982725633
1315,1434542847580069890
1316,1260028784687775744
1317,806343127002914817
1318,7196692
1319,1432196188548354054
1320,1468985519707246592
1321,1869786811
1322,1383788032059338765
1323,232547185
1324,28347516
1325,1370076098051112961
1326,17514210
1327,302119514
1328,3261379614
1329,585020869
1330,2742279203
1331,1299798091269369858
1332,3618021555
1333,1444685588322525187
1334,1563243026
1335,1212809947605397504
1336,1346648511903891459
1337,1192537915152318466
1338,1417942185337569282
1339,1465764330297696258
1340,1449764103635943431
1341,1471916453066866689
1342,165769208
1343,972146137246281728
1344,1420256243571068930
1345,1074828523
1346,234623661
1347,870561454604398592
1348,1452970572
1349,1455835776017702915
1350,45932967
1351,1296657963332128769
1352,466299204
1353,877427746967875584
1354,975411470287757312
1355,1458080114789474305
1356,1458164632355495941
1357,1461888248939102210
1358,1465104609156886528
1359,1465252879636250626
1360,1465350960189165568
1361,1465917863898796040
1362,1364897866922291200
1363,1445359138867924995
1364,821791267717644289
1365,133193084
1366,1589566867
1367,1163550920485015558
1368,1858367737
1369,438474198
1370,63686881
1371,21632226
1372,1081239561110401024
1373,25565157
1374,513895160
1375,84338206
1376,1063950596993110018
1377,1443404087332990979
1378,566897834
1379,997354911154270208
1380,22911558
1381,4848508919
1382,226837016
1383,750708282956783616
1384,296881123
1385,1320119541221912576
1386,1159485658819420160
1387,1444998294896365568
1388,724715569132371969
1389,2194761800
1390,3797416759
1391,1423219638503034885
1392,1348561419051139072
1393,4412496081
1394,1397933368646541317
